1.114704832434654236e-01,8.925997465848922729e-02,6.475596874952316284e-02,2.485000044107437134e-01,2.919999957084655762e-01,3.224999904632568359e-01,3.253670632839202881e-01,7.668783664703369141e-01
1.309204101562500000e-01,1.083244010806083679e-01,5.609615147113800049e-02,4.450000077486038208e-02,7.400000095367431641e-02,1.159999966621398926e-01,3.093333356082439423e-02,3.701533377170562744e-01
1.459900289773941040e-01,1.026130244135856628e-01,8.545678853988647461e-02,1.430000066757202148e-01,1.899999976158142090e-01,1.940000057220458984e-01,8.184999972581863403e-02,4.220694601535797119e-01
9.947311133146286011e-02,7.462453097105026245e-02,6.298183649778366089e-02,1.049999967217445374e-01,1.414999961853027344e-01,1.644999980926513672e-01,1.142055541276931763e-01,5.150365233421325684e-01
1.128361895680427551e-01,8.779336512088775635e-02,6.211797893047332764e-02,2.325000017881393433e-01,2.804999947547912598e-01,2.994999885559082031e-01,3.045698404312133789e-01,7.574461698532104492e-01
1.338730901479721069e-01,1.001990213990211487e-01,6.218275800347328186e-02,5.799999833106994629e-02,1.099999994039535522e-01,1.650000065565109253e-01,5.137777701020240784e-02,4.208666682243347168e-01
1.006126478314399719e-01,7.634557783603668213e-02,6.243107467889785767e-02,4.349999874830245972e-02,8.600000292062759399e-02,1.064999997615814209e-01,6.047222390770912170e-02,4.502864480018615723e-01
1.025384441018104553e-01,7.867012917995452881e-02,5.595275014638900757e-02,9.350000321865081787e-02,1.465000063180923462e-01,1.404999941587448120e-01,1.460666656494140625e-01,5.567436814308166504e-01
1.625450104475021362e-01,9.623888134956359863e-02,7.031342387199401855e-02,1.774999946355819702e-01,2.084999978542327881e-01,2.370000034570693970e-01,1.212694421410560608e-01,5.250844359397888184e-01
1.460794657468795776e-01,8.791314065456390381e-02,6.799389421939849854e-02,8.500000089406967163e-02,1.500000059604644775e-01,1.560000032186508179e-01,4.555555526167154312e-03,2.825239300727844238e-01
8.735473453998565674e-02,6.621091812849044800e-02,5.664679035544395447e-02,8.749999850988388062e-02,1.159999966621398926e-01,1.289999932050704956e-01,1.355111151933670044e-01,5.505981445312500000e-01
1.383914947509765625e-01,1.004178151488304138e-01,6.449123471975326538e-02,1.174999997019767761e-01,1.439999938011169434e-01,1.994999945163726807e-01,1.403468251228332520e-01,5.275499820709228516e-01
1.378552019596099854e-01,9.153302013874053955e-02,6.061217188835144043e-02,1.710000038146972656e-01,2.169999927282333374e-01,2.680000066757202148e-01,2.168202400207519531e-01,6.416860818862915039e-01
1.453593820333480835e-01,1.156524270772933960e-01,1.145354136824607849e-01,1.124999970197677612e-01,1.295000016689300537e-01,1.295000016689300537e-01,1.327777747064828873e-02,2.391893416643142700e-01
1.031023338437080383e-01,8.238954842090606689e-02,6.559397280216217041e-02,1.774999946355819702e-01,2.249999940395355225e-01,2.524999976158142090e-01,2.724658846855163574e-01,7.043535113334655762e-01
8.602046966552734375e-02,8.447991311550140381e-02,6.244968995451927185e-02,3.695000112056732178e-01,3.795000016689300537e-01,4.169999957084655762e-01,4.569298923015594482e-01,9.063957929611206055e-01
1.307845860719680786e-01,1.001094728708267212e-01,5.971241369843482971e-02,1.250000000000000000e-01,1.720000058412551880e-01,2.450000047683715820e-01,1.668940484523773193e-01,5.565751791000366211e-01
1.205000504851341248e-01,8.640202134847640991e-02,6.155161559581756592e-02,4.100000113248825073e-02,8.399999886751174927e-02,1.089999973773956299e-01,6.688889116048812866e-02,4.303640127182006836e-01
1.147687882184982300e-01,8.178921043872833252e-02,5.526683107018470764e-02,1.930000036954879761e-01,2.269999980926513672e-01,2.745000123977661133e-01,2.099881023168563843e-01,6.183174848556518555e-01
1.419972628355026245e-01,1.049557253718376160e-01,6.135050579905509949e-02,1.134999990463256836e-01,1.624999940395355225e-01,2.179999947547912598e-01,1.358611136674880981e-01,5.035552978515625000e-01
2.673531770706176758e-01,2.146020382642745972e-01,1.923148334026336670e-01,7.450000196695327759e-02,8.900000154972076416e-02,1.140000000596046448e-01,7.254999876022338867e-02,3.193269073963165283e-01
9.051217138767242432e-02,6.548184156417846680e-02,5.470719560980796814e-02,7.299999892711639404e-02,9.449999779462814331e-02,1.309999972581863403e-01,1.046416684985160828e-01,5.069840550422668457e-01
8.727844059467315674e-02,7.250506430864334106e-02,6.175876036286354065e-02,3.540000021457672119e-01,3.619999885559082031e-01,3.750000000000000000e-01,4.448190331459045410e-01,9.007794260978698730e-01
1.052722558379173279e-01,8.484137803316116333e-02,6.587051600217819214e-02,3.120000064373016357e-01,3.544999957084655762e-01,3.855000138282775879e-01,3.830793797969818115e-01,8.571052551269531250e-01
2.066389769315719604e-01,1.622501611709594727e-01,6.943010538816452026e-02,3.299999982118606567e-02,9.099999815225601196e-02,1.580000072717666626e-01,1.960000023245811462e-02,2.779143750667572021e-01
1.194870397448539734e-01,8.744516968727111816e-02,5.972225964069366455e-02,4.450000077486038208e-02,6.849999725818634033e-02,1.054999977350234985e-01,2.944999933242797852e-02,4.054299294948577881e-01
9.860201179981231689e-02,8.323729038238525391e-02,5.832226201891899109e-02,3.154999911785125732e-01,3.194999992847442627e-01,3.745000064373016357e-01,4.105300307273864746e-01,8.704120516777038574e-01
9.824419021606445312e-02,7.101587951183319092e-02,6.212846562266349792e-02,2.764999866485595703e-01,3.504999876022338867e-01,3.605000078678131104e-01,2.842119038105010986e-01,7.601814270019531250e-01
8.617008477449417114e-02,8.046107739210128784e-02,6.262011826038360596e-02,1.049999985843896866e-02,2.050000056624412537e-02,3.849999979138374329e-02,1.711111143231391907e-02,4.951000809669494629e-01
9.322904050350189209e-02,7.806949317455291748e-02,6.372229009866714478e-02,3.310000002384185791e-01,3.339999914169311523e-01,3.664999902248382568e-01,4.248657524585723877e-01,8.845277428627014160e-01
1.188452690839767456e-01,9.462933242321014404e-02,6.190458685159683228e-02,2.374999970197677612e-01,2.829999923706054688e-01,3.359999954700469971e-01,2.819936573505401611e-01,7.362636923789978027e-01
1.100364401936531067e-01,7.830408215522766113e-02,5.639441311359405518e-02,1.700000017881393433e-01,2.380000054836273193e-01,2.509999871253967285e-01,1.918218284845352173e-01,5.908240079879760742e-01
1.101128607988357544e-01,7.654459029436111450e-02,6.167984381318092346e-02,1.889999955892562866e-01,2.419999986886978149e-01,2.489999979734420776e-01,1.325583308935165405e-01,5.287677645683288574e-01
8.185944706201553345e-02,7.466893643140792847e-02,5.578989163041114807e-02,6.250000000000000000e-02,8.250000327825546265e-02,1.010000035166740417e-01,1.481583267450332642e-01,5.862264037132263184e-01
1.694608330726623535e-01,1.108114570379257202e-01,6.159730255603790283e-02,1.190000027418136597e-01,1.759999990463256836e-01,2.310000061988830566e-01,9.979999810457229614e-02,4.690216779708862305e-01
