3.100000000000000000e+01,6.000000000000000000e+00,6.121360000000007975e-03
3.100000000000000000e+01,2.500000000000000000e+01,6.121360000000007975e-03
3.200000000000000000e+01,1.600000000000000000e+01,7.800700000000007628e-03
3.200000000000000000e+01,3.100000000000000000e+01,1.679340000000000086e-03
3.300000000000000000e+01,5.000000000000000000e+00,8.077699999999908217e-03
3.300000000000000000e+01,2.800000000000000000e+01,8.077699999999908217e-03
3.400000000000000000e+01,3.200000000000000000e+01,4.809970000000000218e-02
3.400000000000000000e+01,3.300000000000000000e+01,4.782270000000000271e-02
3.500000000000000000e+01,3.400000000000000000e+01,7.914129999999999776e-02
3.500000000000000000e+01,1.500000000000000000e+01,1.350416999999999867e-01
3.600000000000000000e+01,2.700000000000000000e+01,4.019809400000004529e-02
3.600000000000000000e+01,1.300000000000000000e+01,4.019809400000004529e-02
3.700000000000000000e+01,1.200000000000000000e+01,4.050110000000009536e-02
3.700000000000000000e+01,3.600000000000000000e+01,3.030059999999999785e-04
3.800000000000000000e+01,9.000000000000000000e+00,1.419720000000009551e-02
3.800000000000000000e+01,1.000000000000000000e+00,1.419720000000009551e-02
3.900000000000000000e+01,2.600000000000000000e+01,4.988849999999993290e-02
3.900000000000000000e+01,3.800000000000000000e+01,3.569130000000000219e-02
4.000000000000000000e+01,3.900000000000000000e+01,5.303379999999999900e-02
4.000000000000000000e+01,3.700000000000000000e+01,6.242120000000000307e-02
4.100000000000000000e+01,7.000000000000000000e+00,1.908600000000009594e-02
4.100000000000000000e+01,1.400000000000000000e+01,1.908600000000009594e-02
4.200000000000000000e+01,4.000000000000000000e+00,2.165539999999993234e-02
4.200000000000000000e+01,2.000000000000000000e+00,2.165539999999993234e-02
4.300000000000000000e+01,3.000000000000000000e+01,3.244619999999993204e-02
4.300000000000000000e+01,4.200000000000000000e+01,1.079079999999999970e-02
4.400000000000000000e+01,4.300000000000000000e+01,1.294599999999999917e-02
4.400000000000000000e+01,4.100000000000000000e+01,2.630619999999999833e-02
4.500000000000000000e+01,2.100000000000000000e+01,7.568589999999993101e-02
4.500000000000000000e+01,4.400000000000000000e+01,3.029369999999999979e-02
4.600000000000000000e+01,3.000000000000000000e+00,1.055672999999999750e-01
4.600000000000000000e+01,4.500000000000000000e+01,2.988139999999999893e-02
4.700000000000000000e+01,4.000000000000000000e+01,7.408049999999999358e-02
4.700000000000000000e+01,4.600000000000000000e+01,7.143549999999999900e-02
4.800000000000000000e+01,1.100000000000000000e+01,2.394480000000009587e-02
4.800000000000000000e+01,2.900000000000000000e+01,2.394480000000009587e-02
4.900000000000000000e+01,2.400000000000000000e+01,3.425100000000009387e-02
4.900000000000000000e+01,2.300000000000000000e+01,3.425100000000009387e-02
5.000000000000000000e+01,4.800000000000000000e+01,7.280280000000000085e-02
5.000000000000000000e+01,4.900000000000000000e+01,6.249659999999999938e-02
5.100000000000000000e+01,1.700000000000000000e+01,1.724301999999999224e-01
5.100000000000000000e+01,5.000000000000000000e+01,7.568260000000000265e-02
5.200000000000000000e+01,4.700000000000000000e+01,3.286839999999999901e-02
5.200000000000000000e+01,5.100000000000000000e+01,3.744100000000000206e-02
5.300000000000000000e+01,8.000000000000000000e+00,7.622760000000004810e-02
5.300000000000000000e+01,2.200000000000000000e+01,7.622760000000004810e-02
5.400000000000000000e+01,5.200000000000000000e+01,1.594639999999999946e-02
5.400000000000000000e+01,5.300000000000000000e+01,1.495900000000000007e-01
5.500000000000000000e+01,1.900000000000000000e+01,2.855977000000000099e-01
5.500000000000000000e+01,5.400000000000000000e+01,5.978010000000000268e-02
5.600000000000000000e+01,5.500000000000000000e+01,1.515110000000000068e-01
5.600000000000000000e+01,3.500000000000000000e+01,3.020669999999999744e-01
5.700000000000000000e+01,1.000000000000000000e+01,7.499369999999999647e-02
5.700000000000000000e+01,2.000000000000000000e+01,7.499369999999999647e-02
5.800000000000000000e+01,5.700000000000000000e+01,1.256049999999999944e-01
5.800000000000000000e+01,1.800000000000000000e+01,2.005987000000000464e-01
5.900000000000000000e+01,5.800000000000000000e+01,1.567239999999999966e+00
5.900000000000000000e+01,5.600000000000000000e+01,1.330729999999999968e+00
