"V1","V2","V3","V4","V5","V6","V7","V8"
0.166008129772195,0.103175995271794,0.0729175674704469,0.0725,0.116,0.1445,0.0323888888888889,0.844083333333333
0.195826921796114,0.100011111218631,0.0760143707267375,0.0785,0.129,0.148,0.0360722222222222,0.855583333333333
0.181809217091384,0.106373944783464,0.0631579356383994,0.078,0.1455,0.1835,0.0407,0.856666666666667
0.184043427748833,0.0986729858708434,0.0595687628183898,0.075,0.1395,0.1815,0.0413888888888889,0.851583333333333
0.167471467485067,0.117216647974444,0.0879115707736682,0.0775,0.134,0.1425,0.0313333333333333,0.853833333333333
0.17545895981253,0.125113983788674,0.133537799739273,0.083,0.0875,0.092,0.0296555555555556,0.880833333333333
0.178205271802674,0.105193662667507,0.0640983331683048,0.084,0.133,0.171,0.0363388888888889,0.849833333333333
0.18298424438811,0.106504496505567,0.0622125306360237,0.071,0.142,0.196,0.0398944444444444,0.855416666666667
0.171947339654201,0.104664030190408,0.0861164590842882,0.076,0.1195,0.1315,0.0307222222222222,0.847166666666667
0.177565909677921,0.1128495103234,0.0626026681867069,0.081,0.149,0.192,0.0421055555555556,0.861583333333333
0.174885700749375,0.114106819208803,0.105616671406164,0.0655,0.114,0.11,0.0288222222222222,0.85875
0.18422785535612,0.108601174690251,0.0628642290306418,0.0795,0.139,0.168,0.0394888888888889,0.855166666666667
0.192129280792487,0.105660817351848,0.0597424873678079,0.08,0.141,0.1835,0.0406555555555556,0.859416666666667
0.182582668048584,0.0991324827102488,0.0616993756730475,0.087,0.1415,0.197,0.0424888888888889,0.8515
0.179481679452964,0.109055781462794,0.0825702520695633,0.075,0.124,0.146,0.0342777777777778,0.852
0.183232323948926,0.164239205927693,0.167550740398428,0.07,0.079,0.08,0.0286,0.899333333333333
0.189739959272456,0.111624706266141,0.0625353389604824,0.0805,0.1365,0.183,0.0419111111111111,0.860916666666667
0.187741448734208,0.105566624428304,0.0582672405089946,0.088,0.137,0.2045,0.0405166666666667,0.85475
0.176746241471125,0.101441780840223,0.0612997055018795,0.085,0.1455,0.1745,0.0388055555555556,0.855333333333333
0.179308604013023,0.103678648885852,0.0631086524478716,0.083,0.159,0.1575,0.0383111111111111,0.853916666666667
0.18240525584491,0.106098721071616,0.0770613310095357,0.0755,0.1335,0.1655,0.0319055555555556,0.849333333333333
0.187436228976963,0.151466111301336,0.145136698887925,0.0655,0.081,0.095,0.0283333333333333,0.88975
0.176202841716284,0.114832868843064,0.0694728234817408,0.081,0.141,0.179,0.0403833333333333,0.86325
0.182498188432589,0.109638543513692,0.0619477950280979,0.073,0.13,0.1745,0.0374222222222222,0.856583333333333
0.176809612495023,0.110200396698767,0.0774309541158142,0.0815,0.1435,0.1555,0.0359166666666667,0.857916666666667
0.190215264209492,0.133778284666399,0.111333908940586,0.068,0.1205,0.0995,0.0294722222222222,0.874583333333333
0.177806687327385,0.111421436847018,0.0631520292301624,0.084,0.141,0.1695,0.0392111111111111,0.84875
0.166230475935034,0.104873064303768,0.087067109856753,0.073,0.107,0.1235,0.0293888888888889,0.8485
0.181544374043153,0.113439788845934,0.0888411584677009,0.0815,0.121,0.1425,0.0325444444444444,0.850833333333333
0.173648154038738,0.121422610365517,0.110091999238413,0.082,0.104,0.133,0.0310444444444444,0.866416666666667
0.234346445469213,0.233013493129727,0.226219263196762,0.0315,0.0345,0.025,0.0278777777777778,0.963666666666667
0.174388986051249,0.103282700036979,0.0734647742296099,0.0795,0.13,0.1525,0.0314888888888889,0.851666666666667
0.185108683492946,0.099280254431419,0.0686776991539582,0.0825,0.1395,0.168,0.0370388888888889,0.855833333333333
0.183269336898737,0.104769464215546,0.0652682376385493,0.087,0.1445,0.1805,0.0375833333333333,0.857916666666667
0.18619109925785,0.106563525277228,0.059289394028629,0.082,0.1345,0.1755,0.0408277777777778,0.854916666666667
0.183780922763084,0.121682166668686,0.0602009545973931,0.083,0.144,0.1885,0.0417833333333333,0.859666666666667
0.178638285393794,0.134874902337621,0.113681070128904,0.0775,0.09,0.0985,0.0295555555555556,0.873916666666667
0.184292001664157,0.114251623716249,0.0895072937927981,0.0755,0.1195,0.1415,0.0305555555555556,0.848
0.184412199813382,0.142680255076282,0.132328752639926,0.065,0.091,0.0825,0.0278611111111111,0.875083333333333
0.183819089545639,0.101698681367838,0.0707707263227894,0.087,0.1455,0.1585,0.0358888888888889,0.8565
0.180282698131475,0.119880814569425,0.0811318677684095,0.084,0.1345,0.141,0.0322944444444444,0.8545
0.177878707919862,0.10887147574919,0.0717916455229875,0.088,0.157,0.156,0.0364055555555556,0.852916666666667
0.16124269308106,0.107984821831769,0.0864673992077424,0.078,0.1305,0.1305,0.0333388888888889,0.852583333333333
0.202748381828378,0.183979422490743,0.167175804673298,0.062,0.065,0.066,0.0278055555555556,0.91375
0.168725519543068,0.108399334181716,0.067611193624655,0.0805,0.1435,0.1845,0.0390166666666667,0.84875
0.18635093304732,0.110344116134876,0.065863784539563,0.0745,0.1425,0.1875,0.0402,0.85775
0.187213582225882,0.103965214069013,0.0643229897030017,0.084,0.145,0.172,0.0360722222222222,0.85375
0.177182112594319,0.105931629890133,0.0637189606754793,0.0855,0.132,0.164,0.0379333333333333,0.846916666666667
0.184705493208114,0.114729519424748,0.0640939480414659,0.078,0.128,0.2005,0.0393777777777778,0.8605
0.187735448853711,0.114884301683131,0.0601565993509449,0.0945,0.1465,0.1665,0.0394555555555556,0.861333333333333
0.18081362843056,0.110166953108146,0.0653088442981882,0.0815,0.1325,0.1765,0.0417666666666667,0.855333333333333
0.190271862999414,0.0958549796897458,0.0656911346635005,0.0975,0.138,0.171,0.0374777777777778,0.855583333333333
0.18125670395927,0.105732954172678,0.0733133509595486,0.091,0.15,0.1565,0.0356111111111111,0.8495
0.17749802458594,0.112964795088824,0.0635824293811116,0.078,0.1485,0.191,0.0432111111111111,0.863
0.173711300235155,0.100885359115241,0.0707412335241179,0.087,0.1385,0.146,0.0347222222222222,0.846166666666667
0.161112547425453,0.106015830725084,0.0662617330962796,0.0895,0.1355,0.1635,0.0376,0.857583333333333
0.184273216940629,0.102716975771755,0.0686933951606277,0.0865,0.126,0.158,0.0373666666666667,0.8535
0.192361705659214,0.112810162503134,0.0617648481395749,0.08,0.132,0.1995,0.0434611111111111,0.86125
0.174952066352324,0.099712404181794,0.0776710956853153,0.0675,0.126,0.1375,0.0329611111111111,0.843083333333333
0.186582015226332,0.11710392718623,0.0599440172124337,0.071,0.1475,0.1795,0.0397222222222222,0.858416666666667
0.174948357340349,0.1103236655472,0.0689459767825723,0.085,0.1245,0.1345,0.0339888888888889,0.850166666666667
0.173496900842683,0.108046652031534,0.0676226847641065,0.0765,0.137,0.148,0.0348222222222222,0.850583333333333
0.184316681606363,0.103031602175159,0.0742829992053263,0.092,0.1365,0.163,0.0330055555555556,0.853416666666667
0.187653486545155,0.103085312325419,0.0722426249397987,0.074,0.131,0.169,0.0351277777777778,0.855666666666667
0.175428934634085,0.0969692025268125,0.0678361020026358,0.0695,0.1275,0.1675,0.0386277777777778,0.84575
0.166683313902361,0.105508257733447,0.0593299818402343,0.085,0.1405,0.1785,0.0403277777777778,0.856916666666667
0.179877876076441,0.104265583857084,0.0695670853587519,0.08,0.1545,0.1565,0.0384333333333333,0.845333333333333
0.200210146668361,0.0996687154561708,0.0655693983286204,0.0845,0.144,0.173,0.0388277777777778,0.8545
0.181350834876904,0.1044498833232,0.0787982923482765,0.073,0.1355,0.1365,0.0336,0.84725
0.186520411842801,0.102015127065522,0.0723324205623652,0.0835,0.117,0.1585,0.03585,0.84525
0.176075765160731,0.110881634430708,0.0709417057920612,0.073,0.154,0.158,0.0366277777777778,0.854333333333333
0.180658261396823,0.114683735377115,0.0598523320764548,0.0785,0.1625,0.174,0.0432166666666667,0.861083333333333
0.175418342403425,0.110811587629966,0.0785628974423798,0.074,0.133,0.136,0.0324722222222222,0.849583333333333
0.18908492765834,0.105731877343031,0.0669720777486633,0.0905,0.15,0.17,0.04315,0.86625
0.171896123291772,0.110672830098551,0.0609610733454918,0.082,0.113,0.159,0.0386833333333333,0.85725
0.168031194269203,0.111229040761477,0.0693756672074911,0.086,0.1325,0.1635,0.0339888888888889,0.848833333333333
0.178225228864904,0.105526295052185,0.0729932612280173,0.081,0.136,0.147,0.0347666666666667,0.850666666666667
0.175303457090094,0.104436027815956,0.0620968265113545,0.0775,0.1455,0.1925,0.0403388888888889,0.85825
0.179477205753679,0.109323384789197,0.100923410582993,0.069,0.124,0.116,0.0338777777777778,0.8565
0.178627836557009,0.124063921441267,0.110019480160192,0.0665,0.111,0.1185,0.0294444444444444,0.870666666666667
0.189266787259843,0.103777428301755,0.0768084725057867,0.0895,0.132,0.144,0.0317388888888889,0.847666666666667
0.18634234572266,0.107957318029736,0.067510846621081,0.0785,0.139,0.162,0.0345722222222222,0.850166666666667
0.176259871514692,0.116097896421768,0.0941804459409553,0.082,0.12,0.1275,0.03075,0.859
0.16592904358104,0.105049100705137,0.0816574779735271,0.0645,0.141,0.156,0.0344166666666667,0.856833333333333
0.18360315497889,0.107910249991168,0.0703058620257116,0.091,0.1295,0.1545,0.0368388888888889,0.854333333333333
0.169830614434294,0.121279169514779,0.106899455249294,0.0785,0.109,0.118,0.0303777777777778,0.853833333333333
0.192785472491212,0.101182821292533,0.0598059704550639,0.0895,0.1545,0.1835,0.0409333333333333,0.854583333333333
0.195007734072862,0.101826999188909,0.0663248795388899,0.079,0.1395,0.16,0.0369666666666667,0.8465
0.182319543103679,0.11024920140188,0.0641276069111749,0.086,0.135,0.173,0.0390888888888889,0.857083333333333
0.183455902314557,0.107990358193082,0.0728381831441166,0.075,0.1295,0.1445,0.0332277777777778,0.853833333333333
0.182381763324631,0.105474671172729,0.0677042799838388,0.087,0.1485,0.1635,0.0381611111111111,0.85025
0.170832894958481,0.111481258623208,0.0946545218045774,0.0735,0.113,0.1205,0.0314055555555556,0.85525
0.179666157902293,0.107890248960634,0.0708820636781649,0.085,0.137,0.162,0.0338611111111111,0.852833333333333
0.190453298325456,0.119466132023598,0.10770769145003,0.0665,0.091,0.107,0.0272222222222222,0.8695
0.181522383941816,0.105693675170467,0.0593304118233527,0.0735,0.137,0.1715,0.0370833333333333,0.852083333333333
0.188751271742839,0.107622195131777,0.0660525270772113,0.083,0.13,0.1775,0.0429444444444444,0.86425
0.177551858170712,0.107618103648161,0.0735420141081454,0.081,0.139,0.1485,0.0350833333333333,0.84875
0.185612975717815,0.100441097421506,0.0614319335768233,0.0745,0.13,0.1755,0.0383777777777778,0.85525
0.243030168546512,0.225098286627937,0.225703514973714,0.0265,0.029,0.0415,0.0282777777777778,0.952583333333333
0.189912454666877,0.122265564047537,0.109139457588918,0.0765,0.111,0.1025,0.0296111111111111,0.869083333333333
0.1836137417326,0.104747504774674,0.0653146577546516,0.0725,0.142,0.1655,0.0358944444444444,0.848833333333333
0.192889167604428,0.124768701571185,0.115822608393575,0.0735,0.1115,0.1115,0.0288222222222222,0.872583333333333
0.168635996375011,0.104256209553557,0.0844923659960239,0.067,0.1195,0.1295,0.0340277777777778,0.848
0.186175135513436,0.11363062995825,0.103067172207548,0.068,0.098,0.0945,0.0296166666666667,0.863166666666667
0.186626039096967,0.110283367387421,0.0660583649272243,0.0855,0.1285,0.187,0.0402666666666667,0.858166666666667
0.17275586290263,0.121404606291245,0.0980298709560911,0.069,0.1145,0.1295,0.0330444444444444,0.860833333333333
0.193440890603489,0.1080809452454,0.0622098197596386,0.079,0.1515,0.21,0.0418777777777778,0.867083333333333
0.222075540757874,0.216254182014024,0.225058551933207,0.041,0.041,0.031,0.0294888888888889,0.954666666666667
0.199858074348564,0.150771742944432,0.147834850859033,0.063,0.094,0.0795,0.0294166666666667,0.887083333333333
0.170062084483266,0.115116686681551,0.0934318658736053,0.0825,0.113,0.1225,0.0318055555555556,0.857416666666667
0.164251750102058,0.102082825923672,0.0574474679384453,0.076,0.144,0.1595,0.0369166666666667,0.849166666666667
0.21308719040323,0.196628152192752,0.207175241816819,0.0435,0.039,0.0535,0.0285,0.937083333333333
0.183337119633713,0.109058009594014,0.068099691854458,0.0815,0.1365,0.163,0.0362722222222222,0.84825
0.189094674332413,0.10425147934485,0.0594280738160225,0.0895,0.1305,0.171,0.0405333333333333,0.849416666666667
0.172204014334731,0.115137706807713,0.0916831758222861,0.064,0.133,0.141,0.0323333333333333,0.85325
0.171221278473114,0.114526844222643,0.0775871675140159,0.067,0.1265,0.133,0.0336166666666667,0.847166666666667
0.18550588444583,0.104568423834497,0.0638454592297772,0.078,0.1475,0.158,0.0393222222222222,0.854333333333333
0.184649439433237,0.103464544837447,0.0626746191468557,0.0765,0.145,0.1765,0.0418611111111111,0.860166666666667
0.191679314257857,0.108285297123203,0.0581165108077187,0.0825,0.1455,0.175,0.0382166666666667,0.853916666666667
0.179669752937047,0.106420961032526,0.0690665541778756,0.076,0.1385,0.171,0.0373388888888889,0.850666666666667
0.18504018923206,0.0974846698851393,0.074313080365833,0.0875,0.1275,0.1715,0.0366944444444444,0.858416666666667
0.182111282954764,0.105166019357792,0.0912439524920588,0.0805,0.128,0.1325,0.0328472222222222,0.854083333333333
0.171054065087481,0.0962260940126323,0.0771457805533173,0.095,0.1255,0.146,0.0338111111111111,0.845833333333333
0.179923033589972,0.128833395069325,0.111153854322108,0.0845,0.1025,0.1145,0.0320333333333333,0.8675
0.186990166534997,0.131813631285072,0.126180774150651,0.062,0.0815,0.094,0.0300277777777778,0.878
0.186033424193898,0.105500115331155,0.0773632408732572,0.0705,0.143,0.1555,0.0329111111111111,0.8555
0.179468103977591,0.118804457378298,0.0906904795018979,0.07,0.1105,0.1375,0.0298388888888889,0.855916666666667
0.189648125968479,0.109523347134606,0.066548998616111,0.0835,0.1475,0.156,0.0389333333333333,0.8505
0.169150938479256,0.107011562719965,0.077804011525788,0.083,0.134,0.161,0.0329611111111111,0.854333333333333
0.184109031997432,0.109318005936341,0.09993973055167,0.0675,0.1225,0.119,0.0296277777777778,0.86275
0.181219528217028,0.106090640171105,0.0807427776492348,0.0795,0.1375,0.1485,0.0313611111111111,0.852
0.168325332793817,0.118256750122792,0.102397553948388,0.059,0.102,0.1075,0.0312111111111111,0.86125
0.181790208443645,0.110619023190914,0.0642193390897499,0.085,0.1475,0.169,0.0399222222222222,0.859166666666667
0.170660670180042,0.104471238662709,0.0720778319900128,0.076,0.1225,0.1555,0.0351833333333333,0.851833333333333
0.177334951527857,0.111302976071301,0.0852719932815516,0.09,0.142,0.155,0.0359333333333333,0.85725
0.172958450673605,0.107567042455073,0.0716232281840034,0.084,0.138,0.1625,0.0355166666666667,0.852666666666667
0.187940792759887,0.106766081534784,0.0645394805166698,0.078,0.134,0.1925,0.0403888888888889,0.859166666666667
0.181674193590393,0.108525626036853,0.0628225119807025,0.078,0.1385,0.1685,0.0360833333333333,0.845916666666667
0.185463637037904,0.110460213250288,0.0804091043966355,0.078,0.117,0.1455,0.0337722222222222,0.848583333333333
0.181677569567562,0.108041013665094,0.0881092242684811,0.084,0.1125,0.1375,0.0320444444444444,0.856
0.179223190370836,0.117524736368206,0.0639768921919954,0.08,0.1535,0.196,0.0424333333333333,0.867083333333333
0.171078897446899,0.100227002847156,0.0795264165343458,0.0655,0.127,0.1375,0.03075,0.85525
0.17700658005351,0.104008042223029,0.0714404994259727,0.0675,0.1355,0.163,0.0373777777777778,0.849916666666667
0.185059784343473,0.110674499355078,0.0731642940427786,0.076,0.1385,0.159,0.0370166666666667,0.85275
0.183512676436838,0.133853300749333,0.140400271627734,0.06,0.0895,0.09,0.0290333333333333,0.882083333333333
0.177127634281542,0.112410107400181,0.103223331031254,0.0695,0.115,0.119,0.02725,0.858083333333333
0.172766660543476,0.102757063976026,0.0667866807796265,0.078,0.1435,0.1665,0.0392388888888889,0.852083333333333
0.179133373570473,0.10555122173324,0.0933111655491905,0.0785,0.1135,0.135,0.0298333333333333,0.848
0.176875060377753,0.107180945484263,0.0730413707793506,0.079,0.1295,0.16,0.0345277777777778,0.843333333333333
0.19019542753912,0.113561526865949,0.0993880410401449,0.082,0.1185,0.1305,0.0313055555555556,0.858583333333333
0.172614332009462,0.106319090281054,0.0736783304598586,0.0845,0.1235,0.1345,0.0348888888888889,0.845083333333333
0.180240703017945,0.105985593582215,0.0793690071223308,0.079,0.133,0.1615,0.0354777777777778,0.847333333333333
0.196252205276016,0.109151013673749,0.0627625172424539,0.07,0.14,0.1745,0.0388555555555556,0.856
0.188518192475753,0.112408438704962,0.0663727109349254,0.0795,0.134,0.155,0.03325,0.848416666666667
0.177387748663994,0.116313068467631,0.0619863849257312,0.0935,0.148,0.1765,0.0394722222222222,0.854916666666667
0.182973483056369,0.106476605602991,0.0616391857421694,0.071,0.137,0.179,0.0409777777777778,0.861083333333333
0.171653557894758,0.124760149781857,0.0618407139025381,0.096,0.1355,0.1785,0.0413222222222222,0.852
0.174384980641233,0.107666894053929,0.080155329725628,0.0785,0.124,0.1415,0.03335,0.8485
0.179977181884358,0.127125646239671,0.131684442930044,0.0725,0.0925,0.104,0.0296666666666667,0.87725
0.176895211508789,0.105772786179273,0.0609552157902023,0.083,0.12,0.1725,0.0397222222222222,0.856333333333333
0.190063818133125,0.108734703976706,0.0971421369979027,0.077,0.1215,0.146,0.0301666666666667,0.857583333333333
0.182857883043923,0.105215529704637,0.0630382194966722,0.0855,0.1595,0.1965,0.0436222222222222,0.861
0.187830568327499,0.127406321093125,0.129663676128296,0.0675,0.089,0.1115,0.0289611111111111,0.87575
0.178545938720771,0.118397900789429,0.0603662801378693,0.0825,0.15,0.1845,0.0445722222222222,0.860666666666667
0.245501277217436,0.240156500053462,0.240430326139617,0.022,0.027,0.025,0.0281944444444444,0.983666666666667
0.181320801922283,0.103629479544472,0.0645620835440652,0.0735,0.137,0.1585,0.0379611111111111,0.849
0.176128346937831,0.106737508773166,0.0676380262330686,0.0805,0.143,0.1595,0.0356,0.84825
0.177447329411837,0.105817006443779,0.0623499530836558,0.0705,0.145,0.1625,0.0376,0.854833333333333
0.1817492501123,0.112735751890687,0.0580924029355339,0.085,0.136,0.1785,0.0382388888888889,0.858916666666667
0.178031251213883,0.11035089372209,0.0685737422402033,0.0825,0.1425,0.17,0.0345833333333333,0.851166666666667
0.199647416571096,0.109483273410642,0.0598661615685871,0.089,0.1355,0.1675,0.0394611111111111,0.85075
0.189069662688202,0.108085725639419,0.0580481651958952,0.075,0.1375,0.195,0.0422,0.865
0.190620246987872,0.160653451280924,0.149641879701095,0.063,0.067,0.0725,0.0292222222222222,0.89
0.182701905441194,0.104078321401857,0.0724437182224295,0.083,0.137,0.158,0.0378666666666667,0.849583333333333
0.175882061089926,0.12064142609369,0.10383005660343,0.0645,0.1205,0.106,0.0305,0.866083333333333
0.186032020076446,0.110255594140646,0.0582831045931335,0.0775,0.149,0.183,0.0416277777777778,0.8615
0.228497867523451,0.20625391500404,0.219338858458114,0.044,0.043,0.048,0.02975,0.9385
0.180500865652617,0.115093585998418,0.0997203737649243,0.0825,0.1115,0.1105,0.0292944444444444,0.863666666666667
0.181329531858834,0.105908952016048,0.0628851400199898,0.0765,0.139,0.173,0.0399722222222222,0.853
0.174690124325611,0.156341379729347,0.140453663219897,0.078,0.094,0.0845,0.0297222222222222,0.884166666666667
0.172455984448148,0.103747243603901,0.0767380732289912,0.071,0.132,0.123,0.0324888888888889,0.842583333333333
0.165917756562945,0.132277322912516,0.119378415179001,0.082,0.0955,0.1105,0.0298888888888889,0.870916666666667
0.184255315958731,0.11872644310648,0.117853165214207,0.0715,0.096,0.1165,0.0302777777777778,0.87475
0.191344124346916,0.108792362430158,0.0631102626268602,0.074,0.1515,0.1805,0.0421555555555556,0.869333333333333
0.180189209501078,0.114414805124795,0.0628200349258849,0.085,0.126,0.1705,0.0422666666666667,0.86075
0.181672885230369,0.112272988000717,0.0555010004117294,0.0815,0.1455,0.181,0.0447166666666667,0.863833333333333
0.176316055965131,0.101910687914525,0.0725347450245616,0.0825,0.1315,0.1375,0.0320555555555556,0.847583333333333
0.171872810569727,0.112158282073524,0.0617875081516746,0.0915,0.146,0.1785,0.040375,0.8565
0.190714531689393,0.190811130719675,0.182457287713524,0.0615,0.0635,0.0565,0.0270166666666667,0.911416666666667
0.185603743472102,0.105681676060659,0.0902558385823054,0.0755,0.127,0.1365,0.0316111111111111,0.849083333333333
0.176052496938776,0.103217653126688,0.0706759730676216,0.0885,0.1345,0.1575,0.03525,0.855416666666667
0.193588539320732,0.111924295438127,0.0626076517885781,0.078,0.1385,0.176,0.0410888888888889,0.853
0.178893569639636,0.0984869837568798,0.0735327110005618,0.0835,0.1175,0.1665,0.0344722222222222,0.85175
0.188239008900382,0.112660678657558,0.0604572472982911,0.088,0.141,0.177,0.0380888888888889,0.856916666666667
0.1733242213003,0.104431637224993,0.0735850389606585,0.0795,0.1385,0.1685,0.0363833333333333,0.84875
0.180234378896509,0.110254587603038,0.0771017660522252,0.0825,0.142,0.1455,0.0325555555555556,0.8505
0.166172771480313,0.105663694426115,0.0649215535346257,0.088,0.145,0.1685,0.0390666666666667,0.855416666666667
0.176349493625697,0.119843705983856,0.106871969264225,0.0705,0.119,0.1125,0.0275166666666667,0.862583333333333
0.166180311837013,0.103846988593579,0.0937623959480421,0.0695,0.114,0.126,0.0301666666666667,0.855416666666667
0.177067209872151,0.095259898850194,0.0669116316755342,0.0875,0.1375,0.1575,0.0352944444444444,0.84925
