1.560170650482177734e-01,1.069661825895309448e-01,8.017237484455108643e-02,7.194244861602783203e-02,1.088129505515098572e-01,1.294963955879211426e-01,3.144676983356475830e-01,2.583636045455932617e-01,1.112000000000000000e+03
1.793068200349807739e-01,1.042923405766487122e-01,6.566244363784790039e-02,8.599290996789932251e-02,1.258865296840667725e-01,1.347517669200897217e-01,3.193576633930206299e-01,2.817179858684539795e-01,1.128000000000000000e+03
1.950104534626007080e-01,1.115297377109527588e-01,7.931752502918243408e-02,6.704225391149520874e-02,1.149295791983604431e-01,1.323943734169006348e-01,3.155774772167205811e-01,2.851566970348358154e-01,1.775000000000000000e+03
1.671831905841827393e-01,1.076380088925361633e-01,7.360117882490158081e-02,5.543933063745498657e-02,1.150627583265304565e-01,1.286610811948776245e-01,3.175596594810485840e-01,3.107964992523193359e-01,9.560000000000000000e+02
1.408365070819854736e-01,9.312782436609268188e-02,7.746187597513198853e-02,1.223448291420936584e-01,1.587586253881454468e-01,1.662068963050842285e-01,3.694172501564025879e-01,3.660432398319244385e-01,7.250000000000000000e+03
2.084615379571914673e-01,1.358273327350616455e-01,8.682150393724441528e-02,5.812845379114151001e-02,1.002477630972862244e-01,9.719839692115783691e-02,2.423048466444015503e-01,2.074715793132781982e-01,5.247000000000000000e+03
1.577650606632232666e-01,9.483727067708969116e-02,8.047055453062057495e-02,8.272667229175567627e-02,1.257445365190505981e-01,1.237590983510017395e-01,3.260712325572967529e-01,3.390839695930480957e-01,1.511000000000000000e+03
1.488583832979202271e-01,9.838914871215820312e-02,7.641255855560302734e-02,7.346311211585998535e-02,1.161885261535644531e-01,1.176229491829872131e-01,3.241955935955047607e-01,2.332291007041931152e-01,9.760000000000000000e+03
1.385530829429626465e-01,9.278526902198791504e-02,8.119239658117294312e-02,1.087936833500862122e-01,1.426155567169189453e-01,1.479706913232803345e-01,3.502881228923797607e-01,3.117596209049224854e-01,3.548000000000000000e+03
1.558783352375030518e-01,9.172798693180084229e-02,7.559885084629058838e-02,9.274193644523620605e-02,1.414650529623031616e-01,1.508736610412597656e-01,3.489437401294708252e-01,2.791714668273925781e-01,2.976000000000000000e+03
1.571356803178787231e-01,9.826721251010894775e-02,8.149392157793045044e-02,6.937471777200698853e-02,1.175262406468391418e-01,1.298493891954421997e-01,3.259190917015075684e-01,2.470758110284805298e-01,4.382000000000000000e+03
1.491243541240692139e-01,9.968913346529006958e-02,7.992757111787796021e-02,1.138591468334197998e-01,1.476398706436157227e-01,1.681496053934097290e-01,3.572072088718414307e-01,3.474764525890350342e-01,6.631000000000000000e+03
2.346240878105163574e-01,1.477123200893402100e-01,9.226034581661224365e-02,3.811468556523323059e-02,7.725029438734054565e-02,8.762974292039871216e-02,2.291719615459442139e-01,1.571600735187530518e-01,5.877000000000000000e+03
1.561608165502548218e-01,9.758688509464263916e-02,7.975182682275772095e-02,6.626120209693908691e-02,1.122492551803588867e-01,1.202518120408058167e-01,3.224118649959564209e-01,2.259254306554794312e-01,9.372000000000000000e+03
1.754549145698547363e-01,1.147160157561302185e-01,7.633329927921295166e-02,6.545454263687133789e-02,1.120454519987106323e-01,1.295454502105712891e-01,3.174009621143341064e-01,2.351083159446716309e-01,4.400000000000000000e+03
2.150844633579254150e-01,1.211395412683486938e-01,7.799009978771209717e-02,5.933250859379768372e-02,1.149567365646362305e-01,1.124845519661903381e-01,3.035385608673095703e-01,3.338801264762878418e-01,8.090000000000000000e+02
2.095954269170761108e-01,1.762328743934631348e-01,1.151800677180290222e-01,3.512396663427352905e-02,6.198346987366676331e-02,7.644627988338470459e-02,1.626262664794921875e-01,2.444180548191070557e-01,4.840000000000000000e+02
1.722855269908905029e-01,1.061493605375289917e-01,7.667465507984161377e-02,7.509014010429382324e-02,1.205518096685409546e-01,1.338767856359481812e-01,3.318930864334106445e-01,2.415759861469268799e-01,6.379000000000000000e+03
1.678014099597930908e-01,9.703923761844635010e-02,7.782337814569473267e-02,7.117882370948791504e-02,1.173826158046722412e-01,1.256243735551834106e-01,3.251168131828308105e-01,2.563960552215576172e-01,8.008000000000000000e+03
1.820907443761825562e-01,7.875351607799530029e-02,1.082275584340095520e-01,9.722222387790679932e-02,1.250000000000000000e-01,1.296296268701553345e-01,3.197481930255889893e-01,3.879124522209167480e-01,2.160000000000000000e+02
1.571979224681854248e-01,9.698057919740676880e-02,7.566075772047042847e-02,9.138724207878112793e-02,1.229454278945922852e-01,1.295200586318969727e-01,3.324617743492126465e-01,2.906649410724639893e-01,3.042000000000000000e+03
1.574980169534683228e-01,9.887369722127914429e-02,7.682339102029800415e-02,1.195814684033393860e-01,1.494768261909484863e-01,1.748878955841064453e-01,3.522860407829284668e-01,3.707753121852874756e-01,6.690000000000000000e+02
2.404831051826477051e-01,1.596015840768814087e-01,9.879230707883834839e-02,3.183791786432266235e-02,5.075459927320480347e-02,7.029150426387786865e-02,1.801093369722366333e-01,1.595020890235900879e-01,9.674000000000000000e+03
2.317301481962203979e-01,1.476466208696365356e-01,9.295745939016342163e-02,4.535315930843353271e-02,7.211896032094955444e-02,8.624535053968429565e-02,2.183136641979217529e-01,2.262365520000457764e-01,2.690000000000000000e+03
1.964390277862548828e-01,1.199861466884613037e-01,8.279344439506530762e-02,7.235868275165557861e-02,1.235572621226310730e-01,1.321396827697753906e-01,3.056185841560363770e-01,2.662128508090972900e-01,6.758000000000000000e+03
2.004348337650299072e-01,1.137106344103813171e-01,8.114506304264068604e-02,5.171175301074981689e-02,1.003112271428108215e-01,1.240124478936195374e-01,2.959024906158447266e-01,2.474402785301208496e-01,4.177000000000000000e+03
1.959162205457687378e-01,1.363320648670196533e-01,8.555968105792999268e-02,7.319952547550201416e-02,1.003541946411132812e-01,1.192443892359733582e-01,2.977764606475830078e-01,3.034283518791198730e-01,8.470000000000000000e+02
1.485565602779388428e-01,9.777870029211044312e-02,7.811032235622406006e-02,7.245401293039321899e-02,1.040825471282005310e-01,1.158591285347938538e-01,3.179736435413360596e-01,2.300955951213836670e-01,8.916000000000000000e+03
