1.889074703955652978e+02,4.464032186948870162e+01,6.000000000000000000e+00,8.000000000000000000e+00,1.879676322343933337e-01,1.390664232694352187e-01,5.970149253731343343e-03,2.492211838006230459e-02,2.160884353741495900e+01,1.432123960695388831e+01,3.000000000000000000e+00,2.000000000000000000e+00,5.144962747003561931e-01,2.922701960602834270e-01,7.142857142857142461e-02,4.081632653061224164e-02,7.142857142857139685e-02,2.599999999999999881e-02,2.000000000000000000e+03
7.818090592718570520e+01,1.472902888007054223e+01,1.900000000000000000e+01,7.000000000000000000e+00,1.801403362377550776e-01,1.159766053548861586e-01,4.377880184331797014e-02,5.511811023622047168e-02,2.487654320987653378e+00,1.608465608465608598e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.487654320987653378e-01,1.462241462241462286e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.061224489795918435e-01,1.700000000000000122e-02,2.000000000000000000e+03
3.545669220836441582e+02,7.054850781053175979e+01,4.680000000000000000e+02,8.100000000000000000e+01,1.704648663863673752e-01,1.136046824646244069e-01,2.250000000000000056e-01,1.304347826086956486e-01,2.481654698916604218e+01,2.492140652557318603e+01,2.000000000000000000e+00,3.000000000000000000e+00,2.820062157859777319e-01,3.115175815696648032e-01,2.272727272727272790e-02,3.749999999999999861e-02,4.477611940298507065e-01,3.699999999999999817e-02,2.000000000000000000e+03
9.166940534454514591e+02,2.167254744583016475e+02,1.412000000000000000e+03,5.290000000000000000e+02,1.378280038258083706e-01,1.086343230367426832e-01,2.122989024206886066e-01,2.651629072681704336e-01,6.169480268959436131e+01,5.258790690350219421e+01,9.000000000000000000e+00,2.500000000000000000e+01,2.448206455936284276e-01,2.401274287831150489e-01,3.571428571428571230e-02,1.141552511415525051e-01,4.677419354838709964e-01,6.600000000000000311e-02,2.000000000000000000e+03
1.166249606449520434e+04,2.024813095710338985e+03,7.268000000000000000e+03,1.885000000000000000e+03,1.754761527563901691e-01,9.592179144963471071e-02,1.093557220667449037e-01,8.929840352456298869e-02,7.617894134227800578e+02,6.676414989606976178e+02,1.870000000000000000e+02,2.950000000000000000e+02,2.701380898662340546e-01,2.353336267045109675e-01,6.631205673758865105e-02,1.039830807190694345e-01,3.901018922852983462e-01,2.094999999999999918e-01,2.000000000000000000e+03
4.391756341963009618e+03,1.034541308736455903e+03,3.656000000000000000e+03,1.169000000000000000e+03,1.438552308284912484e-01,1.212684689645359137e-01,1.197549870614825207e-01,1.370296565467119809e-01,2.930886440224233525e+02,2.551998407974292604e+02,3.100000000000000000e+01,5.300000000000000000e+01,2.420220016700440624e-01,2.168222946452245115e-01,2.559867877786952892e-02,4.502973661852166520e-02,4.017094017094017255e-01,1.400000000000000133e-01,2.000000000000000000e+03
8.966651535651413724e+03,2.973214546957936363e+03,5.515000000000000000e+03,4.819000000000000000e+03,1.518510311038529514e-01,1.042428492727696665e-01,9.339700926349303600e-02,1.689572961222915726e-01,6.641036131582277449e+02,5.586592391030479803e+02,1.220000000000000000e+02,1.790000000000000000e+02,2.369260125430709130e-01,2.027801230864058057e-01,4.352479486264716063e-02,6.497277676950997949e-02,4.345479082321187514e-01,2.094999999999999918e-01,2.000000000000000000e+03
3.661176253779428862e+03,7.213773563869958707e+02,1.590000000000000000e+03,3.850000000000000000e+02,2.005025330656861338e-01,1.592093039918331121e-01,8.707557502738225153e-02,8.497020525270360114e-02,2.525159328546230597e+02,2.231295044406651300e+02,2.800000000000000000e+01,5.100000000000000000e+01,3.612531228249257209e-01,2.849674386215391153e-01,4.005722460658082962e-02,6.513409961685823202e-02,3.779069767441860517e-01,1.069999999999999979e-01,2.000000000000000000e+03
1.037925402336886464e+03,1.230777273872506896e+02,2.910000000000000000e+02,4.800000000000000000e+01,1.803206049925098198e-01,1.073040343393641544e-01,5.055594162612925963e-02,4.184829991281604350e-02,6.658333727009326708e+01,7.402979339884092269e+01,3.000000000000000000e+00,3.000000000000000000e+00,3.170635108099679189e-01,2.961191735953637161e-01,1.428571428571428527e-02,1.200000000000000025e-02,2.716049382716049232e-01,5.899999999999999689e-02,2.000000000000000000e+03
3.734597740930470991e+03,1.334657323948055819e+03,1.124000000000000000e+03,5.340000000000000000e+02,1.382262839932811849e-01,1.320135829820035522e-01,4.160189503294100394e-02,5.281899109792284608e-02,2.377210156840528725e+02,1.940319173595379141e+02,2.100000000000000000e+01,3.400000000000000000e+01,2.031803552855152850e-01,1.714062874200864839e-01,1.794871794871794740e-02,3.003533568904593470e-02,2.815789473684210398e-01,1.365000000000000102e-01,2.000000000000000000e+03
