2.403945612874779647e-01,1.652401049540186406e-01,1.036231505102040984e-01,3.200000000000000067e-02,5.349999999999999895e-02,5.850000000000000339e-02,1.508519841269841399e-01,2.463832670364175526e-01
1.327501511715797333e-01,9.341321467939027456e-02,7.826308571113631263e-02,1.024999999999999939e-01,1.330000000000000071e-01,1.340000000000000080e-01,3.435834656084656991e-01,3.181438055709103763e-01
1.625398414273116765e-01,9.585638243260267977e-02,7.968359993071302827e-02,8.999999999999999667e-02,1.454999999999999905e-01,1.434999999999999887e-01,3.431876984126984165e-01,3.303061887647209538e-01
1.557816629661123720e-01,9.635639896699421669e-02,8.173599655139836273e-02,9.199999999999999845e-02,1.350000000000000089e-01,1.509999999999999953e-01,3.474332010582011354e-01,3.214949829802709047e-01
1.575354230442177206e-01,9.321296477387251700e-02,7.530044571995467284e-02,9.249999999999999889e-02,1.250000000000000000e-01,1.494999999999999940e-01,3.467593915343915589e-01,3.151875501176602534e-01
1.579183399470899529e-01,1.015082407407407461e-01,7.856386715797430975e-02,9.400000000000000022e-02,1.504999999999999949e-01,1.409999999999999865e-01,3.392522486772486801e-01,2.992838715790331339e-01
2.159214414840010254e-01,1.794472493858654538e-01,1.365703046264802323e-01,2.350000000000000006e-02,2.400000000000000050e-02,2.249999999999999917e-02,7.107222222222223107e-02,2.193712131712121927e-01
2.095369119268077618e-01,1.341615735229277073e-01,8.813285367850844099e-02,5.249999999999999806e-02,8.749999999999999445e-02,1.059999999999999970e-01,2.809805555555555667e-01,2.887422950080498207e-01
1.619588644022423862e-01,9.764333797871001253e-02,7.833009841899724046e-02,9.199999999999999845e-02,1.370000000000000107e-01,1.559999999999999998e-01,3.457628306878306468e-01,2.800343486384033187e-01
1.502175656651549562e-01,8.942193373645755672e-02,7.346301083396322706e-02,9.900000000000000466e-02,1.400000000000000133e-01,1.400000000000000133e-01,3.544198412698412737e-01,3.403573756326451760e-01
1.953200615709246579e-01,1.188948438681028119e-01,7.696401297556060284e-02,6.850000000000000533e-02,1.089999999999999997e-01,1.260000000000000009e-01,2.901846560846561007e-01,2.727981300556107103e-01
1.834793025636180241e-01,1.197281847600151217e-01,8.105434783635678819e-02,7.449999999999999678e-02,1.160000000000000059e-01,1.439999999999999891e-01,3.052477513227513373e-01,3.065577650223950679e-01
1.617116176146384532e-01,9.431719049193752757e-02,8.052868905895692320e-02,1.054999999999999966e-01,1.385000000000000120e-01,1.370000000000000107e-01,3.470287037037037559e-01,2.962311725574974242e-01
1.459341402903754081e-01,9.733392227261276897e-02,7.056767888636937547e-02,8.849999999999999534e-02,1.280000000000000027e-01,1.385000000000000120e-01,3.394006613756614388e-01,3.618640975322462983e-01
1.366265842309146161e-01,8.807136204018643777e-02,7.940147856827917128e-02,1.115000000000000019e-01,1.390000000000000124e-01,1.414999999999999869e-01,3.504894179894180173e-01,3.126463588746038469e-01
1.925205738221214546e-01,1.097546963970773559e-01,8.076191940665154723e-02,7.000000000000000666e-02,1.189999999999999947e-01,1.459999999999999909e-01,3.199521164021164044e-01,2.954109428492417422e-01
1.622018301209372793e-01,1.002138542454018705e-01,7.722364914021165316e-02,1.010000000000000064e-01,1.239999999999999991e-01,1.444999999999999896e-01,3.423985449735449937e-01,3.789290300896691610e-01
